"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"true","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","ACH-001270","127399"
"true","CNS/Brain","Diffuse Glioma","Astrocytoma","ACH-001000","1321N1"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-001001","143B"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002680","170MGBA"
"true","Breast","Non-Cancerous","Immortalized Breast Cells","ACH-002319","184A1"
"true","Breast","Non-Cancerous","Immortalized Breast Cells","ACH-001827","184B5"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-002089","201T"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-002399","21NT"
"true","Prostate","Prostate Adenocarcinoma","Prostate Adenocarcinoma","ACH-000956","22RV1"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000948","2313287"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000011","253J"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000026","253JBV"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000323","42MGBA"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-001002","451LU"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000905","5637"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000520","59M"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Carcinoma, NOS","ACH-002320","600MPE"
"true","Bladder/Urinary Tract","Urethral Cancer","Urethral Urothelial Carcinoma","ACH-000973","639V"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000896","647V"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000070","697"
"true","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000411","769P"
"true","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000649","786O"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001306","8305C"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001307","8505C"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000137","8MGBA"
"true","Eye","Ocular Melanoma","Uveal Melanoma","ACH-001441","921"
"true","Soft Tissue","Liposarcoma","Well-Differentiated Liposarcoma","ACH-001794","93T449"
"true","Soft Tissue","Liposarcoma","Well-Differentiated Liposarcoma","ACH-001795","94T778"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-001999","9505BIK"
"true","Soft Tissue","Liposarcoma","Well-Differentiated Liposarcoma","ACH-001796","95T1000"
"true","Skin","Melanoma","Melanoma","ACH-000008","A101D"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000283","A1207"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000558","A172"
"true","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma","ACH-000201","A204"
"true","Skin","Melanoma","Melanoma","ACH-000788","A2058"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000740","A253"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Endometrioid Ovarian Cancer","ACH-000657","A2780"
"true","Skin","Melanoma","Melanoma","ACH-000219","A375"
"true","Skin","Melanoma","Melanoma","ACH-002001","A375SKINCJ1"
"true","Skin","Melanoma","Melanoma","ACH-002002","A375SKINCJ2"
"true","Skin","Melanoma","Melanoma","ACH-002003","A375SKINCJ3"
"true","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001442","A388"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-000697","A3KAW"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000757","A427"
"true","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001328","A431"
"true","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000555","A498"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-000157","A4FUK"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000681","A549"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-000052","A673"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001007","A673STAG2KO16"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001008","A673STAG2KO45"
